complaint_id,product_id,country_id,complaint_date,severity,status,reporter_type,lot_number,patient_harm,event_description
CMP0001,P007,C005,2026-06-08,Medium,Open,Distributor,LOT9260,Yes,Display error
CMP0002,P001,C008,2026-03-20,Low,Closed,Distributor,LOT4328,Yes,Foreign particle found
CMP0003,P009,C006,2026-05-17,Medium,Closed,Patient,LOT7776,Yes,Foreign particle found
CMP0004,P003,C005,2026-01-26,High,Investigating,Doctor,LOT1071,Yes,Device not powering on
CMP0005,P007,C005,2026-07-11,Low,Closed,Hospital,LOT6026,No,Calibration issue
CMP0006,P006,C003,2026-07-25,High,Closed,Hospital,LOT9079,Yes,Device not powering on
CMP0007,P002,C002,2026-07-07,Critical,Closed,Patient,LOT3658,Yes,Packaging damaged
CMP0008,P010,C001,2026-07-01,High,Closed,Hospital,LOT9957,Yes,Flow interruption
CMP0009,P009,C002,2026-02-19,High,Investigating,Hospital,LOT3122,No,Display error
CMP0010,P007,C007,2026-05-02,Critical,Investigating,Patient,LOT5638,No,Packaging damaged
CMP0011,P003,C007,2026-04-29,Low,Investigating,Patient,LOT1138,No,Flow interruption
CMP0012,P005,C008,2026-04-05,Critical,Investigating,Hospital,LOT4257,Yes,Packaging damaged
CMP0013,P003,C003,2026-06-25,Critical,Investigating,Patient,LOT2741,Yes,Device not powering on
CMP0014,P008,C003,2026-03-24,High,Open,Hospital,LOT4550,Yes,Foreign particle found
CMP0015,P004,C004,2026-01-28,Critical,Closed,Patient,LOT7578,No,Flow interruption
CMP0016,P008,C001,2026-05-14,Low,Open,Patient,LOT2977,Yes,Needle bent
CMP0017,P003,C005,2026-07-19,Medium,Closed,Doctor,LOT5224,No,Device not powering on
CMP0018,P007,C004,2026-03-30,Critical,Closed,Distributor,LOT2764,No,Foreign particle found
CMP0019,P007,C008,2026-06-12,Low,Investigating,Hospital,LOT4720,Yes,Needle bent
CMP0020,P004,C006,2026-04-10,High,Open,Hospital,LOT9186,No,Calibration issue
CMP0021,P001,C007,2026-06-11,Low,Open,Hospital,LOT9793,Yes,Device not powering on
CMP0022,P006,C002,2026-04-14,Low,Investigating,Distributor,LOT3272,No,Device not powering on
CMP0023,P003,C004,2026-03-24,Medium,Investigating,Distributor,LOT2120,No,Packaging damaged
CMP0024,P005,C008,2026-05-23,Medium,Open,Hospital,LOT8319,Yes,Leak observed
CMP0025,P010,C001,2026-02-09,High,Investigating,Hospital,LOT3716,No,Flow interruption
CMP0026,P009,C008,2026-01-22,Low,Investigating,Hospital,LOT6553,Yes,Packaging damaged
CMP0027,P006,C008,2026-02-20,Low,Closed,Doctor,LOT9823,No,Device not powering on
CMP0028,P002,C008,2026-04-02,Medium,Closed,Hospital,LOT5281,Yes,Leak observed
CMP0029,P003,C002,2026-02-19,High,Closed,Distributor,LOT5304,No,Calibration issue
CMP0030,P008,C001,2026-04-20,High,Open,Patient,LOT3924,No,Leak observed
CMP0031,P005,C002,2026-03-09,Low,Closed,Hospital,LOT2917,No,Foreign particle found
CMP0032,P009,C002,2026-07-27,Medium,Open,Patient,LOT5410,Yes,Needle bent
CMP0033,P005,C003,2026-02-12,Critical,Open,Hospital,LOT4787,Yes,Foreign particle found
CMP0034,P004,C003,2026-02-21,Medium,Investigating,Patient,LOT1172,No,Flow interruption
CMP0035,P003,C008,2026-02-25,High,Investigating,Hospital,LOT6652,No,Flow interruption
CMP0036,P006,C006,2026-03-15,Critical,Closed,Patient,LOT7626,Yes,Needle bent
CMP0037,P009,C001,2026-03-23,High,Open,Hospital,LOT7089,No,Needle bent
