investigation_id,complaint_id,assigned_to,investigation_status,root_cause,reportable,open_date,close_date
INV0001,CMP0001,EMP107,Open,User Error,Yes,2026-01-08,
INV0002,CMP0002,EMP106,In Progress,Unknown,Yes,2026-01-27,
INV0003,CMP0003,EMP105,Closed,Manufacturing,Yes,2026-05-10,2026-05-21
INV0004,CMP0004,EMP105,Open,Manufacturing,Yes,2026-02-09,
INV0005,CMP0005,EMP104,In Progress,Shipping Damage,Yes,2026-01-31,
INV0006,CMP0006,EMP102,Open,Manufacturing,No,2026-02-15,
INV0007,CMP0007,EMP106,Open,Shipping Damage,No,2026-04-27,
INV0008,CMP0008,EMP105,Open,Manufacturing,No,2026-01-02,
INV0009,CMP0009,EMP103,Open,Unknown,No,2026-06-10,
INV0010,CMP0010,EMP107,Closed,Design Issue,No,2026-05-03,2026-05-12
INV0011,CMP0011,EMP107,In Progress,Unknown,Yes,2026-03-18,
INV0012,CMP0012,EMP107,Open,Shipping Damage,Yes,2026-07-19,
INV0013,CMP0013,EMP103,Closed,User Error,Yes,2026-05-16,2026-05-19
INV0014,CMP0014,EMP105,Closed,User Error,No,2026-01-21,2026-02-08
INV0015,CMP0015,EMP105,Closed,User Error,No,2026-01-14,2026-01-21
INV0016,CMP0016,EMP110,Closed,Design Issue,No,2026-04-06,2026-04-09
INV0017,CMP0017,EMP109,In Progress,Shipping Damage,Yes,2026-01-21,
INV0018,CMP0018,EMP107,Closed,User Error,No,2026-05-07,2026-05-17
INV0019,CMP0019,EMP110,In Progress,User Error,Yes,2026-06-19,
INV0020,CMP0020,EMP102,Closed,Shipping Damage,No,2026-03-19,2026-03-27
INV0021,CMP0021,EMP107,Closed,Unknown,No,2026-02-26,2026-03-04
INV0022,CMP0022,EMP104,Open,User Error,No,2026-03-04,
INV0023,CMP0023,EMP105,In Progress,Unknown,No,2026-07-08,
INV0024,CMP0024,EMP108,In Progress,Unknown,No,2026-06-17,
INV0025,CMP0025,EMP104,In Progress,Unknown,No,2026-02-24,
INV0026,CMP0026,EMP105,In Progress,Design Issue,Yes,2026-02-05,
INV0027,CMP0027,EMP101,Closed,Shipping Damage,Yes,2026-03-29,2026-04-06
INV0028,CMP0028,EMP106,Closed,Unknown,No,2026-07-21,2026-08-03
INV0029,CMP0029,EMP101,Open,Design Issue,Yes,2026-05-18,
INV0030,CMP0030,EMP102,In Progress,Unknown,Yes,2026-01-24,
INV0031,CMP0031,EMP101,In Progress,Manufacturing,Yes,2026-01-21,
INV0032,CMP0032,EMP107,Open,User Error,No,2026-03-16,
INV0033,CMP0033,EMP105,In Progress,Design Issue,Yes,2026-02-01,
INV0034,CMP0034,EMP102,Open,Shipping Damage,Yes,2026-05-16,
INV0035,CMP0035,EMP107,Open,Unknown,Yes,2026-04-08,
INV0036,CMP0036,EMP106,Closed,Unknown,No,2026-05-19,2026-06-06
INV0037,CMP0037,EMP104,Open,Shipping Damage,No,2026-03-13,
INV0038,CMP0038,EMP107,In Progress,Design Issue,Yes,2026-05-17,
INV0039,CMP0039,EMP108,Closed,User Error,Yes,2026-05-23,2026-05-26
INV0040,CMP0040,EMP104,Closed,Manufacturing,No,2026-05-12,2026-05-15
INV0041,CMP0041,EMP105,In Progress,Manufacturing,Yes,2026-06-09,
INV0042,CMP0042,EMP102,In Progress,Shipping Damage,No,2026-04-28,
INV0043,CMP0043,EMP102,In Progress,Unknown,No,2026-04-17,
INV0044,CMP0044,EMP110,In Progress,Manufacturing,No,2026-03-27,
INV0045,CMP0045,EMP104,Open,Design Issue,Yes,2026-06-12,
INV0046,CMP0046,EMP101,In Progress,User Error,Yes,2026-06-03,
INV0047,CMP0047,EMP105,Open,User Error,No,2026-06-29,
INV0048,CMP0048,EMP110,In Progress,Manufacturing,No,2026-03-30,
INV0049,CMP0049,EMP109,In Progress,Manufacturing,Yes,2026-02-14,
INV0050,CMP0050,EMP109,Closed,User Error,Yes,2026-01-30,2026-02-10
INV0051,CMP0051,EMP110,Open,Manufacturing,No,2026-06-02,
INV0052,CMP0052,EMP109,In Progress,Design Issue,No,2026-06-20,
INV0053,CMP0053,EMP105,In Progress,Manufacturing,Yes,2026-03-12,
INV0054,CMP0054,EMP103,Open,Design Issue,No,2026-06-23,
INV0055,CMP0055,EMP108,In Progress,Shipping Damage,Yes,2026-04-19,
INV0056,CMP0056,EMP104,Closed,Shipping Damage,No,2026-06-12,2026-06-16
INV0057,CMP0057,EMP107,Closed,Design Issue,No,2026-01-22,2026-02-05
INV0058,CMP0058,EMP101,In Progress,User Error,Yes,2026-06-28,
